source,target,weight
0,79,1
0,188,1
1,124,1
2,114,1
2,169,1
3,186,1
3,202,1
3,214,1
4,3,1
4,128,1
5,48,1
5,178,1
6,93,1
7,0,1
7,55,1
7,138,1
7,214,1
8,183,1
9,49,1
9,228,1
10,17,1
11,62,1
11,223,1
11,237,1
12,107,1
13,98,1
13,152,1
13,198,1
14,96,1
14,197,1
14,250,1
15,242,1
16,31,1
17,76,1
17,103,1
17,133,1
18,121,1
19,166,1
20,204,1
20,211,1
21,0,1
22,45,1
22,134,1
23,90,1
24,135,1
25,180,1
25,235,1
26,225,1
27,14,1
28,37,1
28,59,1
29,104,1
29,150,1
29,229,1
30,121,1
30,149,1
30,173,1
31,194,1
32,123,1
32,179,1
32,239,1
33,8,1
33,28,1
33,39,1
34,27,1
34,73,1
35,118,1
35,129,1
36,15,1
36,78,1
36,163,1
37,72,1
37,208,1
38,253,1
39,29,1
39,42,1
40,87,1
41,65,1
41,132,1
41,225,1
42,147,1
42,177,1
43,222,1
44,11,1
44,80,1
44,248,1
45,56,1
46,48,1
46,101,1
46,219,1
47,146,1
47,239,1
48,191,1
49,236,1
50,25,1
51,70,1
51,139,1
51,162,1
52,115,1
53,9,1
53,160,1
54,149,1
54,205,1
54,222,1
55,117,1
55,200,1
55,250,1
55,255,1
56,39,1
56,130,1
57,54,1
57,67,1
57,84,1
58,129,1
59,35,1
59,174,1
59,238,1
60,59,1
60,219,1
61,8,1
62,53,1
63,50,1
63,98,1
63,112,1
64,63,1
64,143,1
64,172,1
65,167,1
65,188,1
66,233,1
66,249,1
67,22,1
67,118,1
68,24,1
68,67,1
68,93,1
68,187,1
69,112,1
69,171,1
69,181,1
70,157,1
71,183,1
71,202,1
72,85,1
72,242,1
72,247,1
73,36,1
74,81,1
74,113,1
74,160,1
74,228,1
75,126,1
75,224,1
76,171,1
77,216,1
78,5,1
78,84,1
79,50,1
80,95,1
81,71,1
81,140,1
81,246,1
82,185,1
83,108,1
83,230,1
84,19,1
85,64,1
86,109,1
86,126,1
87,154,1
88,199,1
89,205,1
89,244,1
90,28,1
90,33,1
90,58,1
90,101,1
91,46,1
91,78,1
91,116,1
92,123,1
92,174,1
92,240,1
93,43,1
93,144,1
93,168,1
93,193,1
94,213,1
95,2,1
95,70,1
95,165,1
96,47,1
97,92,1
97,135,1
97,209,1
97,217,1
98,12,1
98,137,1
98,146,1
98,206,1
99,64,1
99,159,1
99,182,1
100,213,1
100,227,1
101,16,1
102,61,1
103,62,1
103,106,1
104,151,1
105,53,1
105,169,1
105,196,1
106,241,1
107,25,1
107,30,1
108,17,1
108,75,1
109,120,1
109,189,1
109,236,1
110,165,1
111,1,1
